period,type,url
2024,annual report,https://www.centralbank.ie/docs/default-source/publications/corporate-reports/annual-reports/annual-report-2024-and-annual-performance-statement-2024-2025.pdf
2023,annual report,https://www.centralbank.ie/docs/default-source/publications/corporate-reports/annual-reports/annual-report-2023-and-annual-performance-statement-2023-2024.pdf
2022,annual report,https://www.centralbank.ie/docs/default-source/publications/corporate-reports/annual-reports/annual-report-2022-and-annual-performance-statement-2022-2023.pdf
2021,annual report,https://www.centralbank.ie/docs/default-source/publications/corporate-reports/annual-reports/annual-report-2021-and-annual-performance-statement-2021-2022.pdf
